search_user_character,Bowser,Ice Climbers,Peach,Sheik,Zelda,Captain Falcon,Donkey Kong,Fox,Kirby,Link,Mario,Ness,Pikachu,Samus,Yoshi,Dr. Mario,Falco,Ganondorf,Jigglypuff,Luigi,Marth,Mewtwo,Mr. Game & Watch,Pichu,Roy,Young Link,Random
Bowser,0.5,0.571428571429,0.48,0.4,0.333333333333,0.560606060606,0.285714285714,0.448598130841,0.285714285714,0.818181818182,0.875,0.6,0.7,0.384615384615,1.0,0.428571428571,0.508196721311,0.481481481481,0.6,0.485714285714,0.483870967742,0.285714285714,0.444444444444,0.0,0.625,0.333333333333,0.5
Ice Climbers,0.363636363636,0.524324324324,0.434294871795,0.596354166667,0.597014925373,0.638554216867,0.777777777778,0.629651162791,0.809523809524,0.672131147541,0.584905660377,0.568181818182,0.736842105263,0.434163701068,0.638888888889,0.603260869565,0.611632270169,0.497175141243,0.631067961165,0.555555555556,0.562115621156,0.764705882353,0.659574468085,0.888888888889,0.655737704918,0.763636363636,0.621621621622
Peach,0.45,0.617948717949,0.532125205931,0.624073017684,0.522935779817,0.61974025974,0.724637681159,0.615321252059,0.641975308642,0.590909090909,0.707865168539,0.464285714286,0.663212435233,0.516981132075,0.675862068966,0.695863746959,0.628965922444,0.593996840442,0.609030837004,0.578544061303,0.581568402977,0.653846153846,0.683544303797,0.783783783784,0.609523809524,0.8125,0.6
Sheik,0.451851851852,0.374137931034,0.419147694104,0.511813186813,0.502793296089,0.573517681468,0.507462686567,0.492548778614,0.513274336283,0.53734939759,0.644518272425,0.508064516129,0.593373493976,0.43234836703,0.608856088561,0.586754966887,0.51516191784,0.5407239819,0.477777777778,0.510849909584,0.577393340271,0.626506024096,0.538461538462,0.671875,0.4875,0.668393782383,0.52380952381
Zelda,0.333333333333,0.540540540541,0.463414634146,0.5625,0.742857142857,0.594936708861,0.545454545455,0.494186046512,0.5,0.481481481481,0.5,0.642857142857,0.428571428571,0.493670886076,0.444444444444,0.610169491525,0.496221662469,0.426966292135,0.57,0.528301886792,0.62,0.777777777778,0.666666666667,0.666666666667,0.764705882353,0.636363636364,0.7
Captain Falcon,0.433333333333,0.412987012987,0.386639676113,0.463038767156,0.441295546559,0.517105780574,0.459459459459,0.502755769893,0.406060606061,0.609243697479,0.594059405941,0.388714733542,0.556786703601,0.443228454172,0.613832853026,0.538177339901,0.485641500695,0.479166666667,0.471573380344,0.517783291977,0.501068255932,0.601694915254,0.552123552124,0.602150537634,0.537459283388,0.64953271028,0.533333333333
Donkey Kong,0.363636363636,0.4,0.469696969697,0.576086956522,0.333333333333,0.572549019608,0.617647058824,0.557065217391,0.636363636364,0.52,0.714285714286,0.473684210526,0.4375,0.557692307692,0.611111111111,0.673469387755,0.517587939698,0.529411764706,0.659090909091,0.491803278689,0.637837837838,1.0,0.5,0.75,0.739130434783,0.5625,0.4375
Fox,0.426229508197,0.38219895288,0.382360996987,0.524897835629,0.484337349398,0.508583318883,0.510263929619,0.492728456696,0.603636363636,0.565149136578,0.580821917808,0.401709401709,0.616666666667,0.397299903568,0.555147058824,0.481542247744,0.490716554889,0.491899852725,0.459585958596,0.481828193833,0.533014831717,0.64347826087,0.544736842105,0.768786127168,0.464824120603,0.692052980132,0.586956521739
Kirby,0.333333333333,0.375,0.34375,0.378787878788,0.4375,0.488372093023,0.444444444444,0.316568047337,0.608695652174,0.470588235294,0.368421052632,0.269230769231,0.347826086957,0.292682926829,0.380952380952,0.439024390244,0.390581717452,0.349397590361,0.375,0.391304347826,0.429347826087,1.0,0.25,0.666666666667,0.380952380952,0.52380952381,0.304347826087
Link,0.2,0.412280701754,0.444078947368,0.501322751323,0.563636363636,0.457107843137,0.47619047619,0.543766578249,0.551724137931,0.529850746269,0.485714285714,0.612244897959,0.578313253012,0.461538461538,0.527027027027,0.612903225806,0.53794369645,0.488826815642,0.473441108545,0.60546875,0.565687789799,0.333333333333,0.731707317073,0.818181818182,0.517857142857,0.80701754386,0.451612903226
Mario,0.466666666667,0.479166666667,0.411214953271,0.423566878981,0.526315789474,0.527331189711,0.473684210526,0.473913043478,0.384615384615,0.321428571429,0.481012658228,0.318181818182,0.589743589744,0.379746835443,0.4,0.515789473684,0.441016333938,0.304,0.3359375,0.439655172414,0.446619217082,0.454545454545,0.260869565217,0.714285714286,0.529411764706,0.5625,0.5
Ness,0.35,0.381818181818,0.414414414414,0.485596707819,0.56,0.484320557491,0.451612903226,0.489795918367,0.5,0.576923076923,0.571428571429,0.492753623188,0.533333333333,0.455555555556,0.521739130435,0.521126760563,0.46265560166,0.475524475524,0.44776119403,0.450704225352,0.468559837728,0.714285714286,0.558139534884,0.625,0.533333333333,0.612903225806,0.625
Pikachu,0.666666666667,0.323529411765,0.327044025157,0.488549618321,0.641025641026,0.468513853904,0.583333333333,0.39590443686,0.421052631579,0.413793103448,0.571428571429,0.388888888889,0.482142857143,0.3828125,0.714285714286,0.483146067416,0.429782082324,0.525547445255,0.49356223176,0.487394957983,0.471968709257,1.0,0.428571428571,0.647058823529,0.307692307692,0.666666666667,0.379310344828
Samus,0.478260869565,0.565789473684,0.472370766488,0.534082397004,0.604651162791,0.58315018315,0.443181818182,0.615113350126,0.617021276596,0.52380952381,0.610526315789,0.490740740741,0.593023255814,0.485125858124,0.604938271605,0.571428571429,0.57072054899,0.501945525292,0.553125,0.553191489362,0.570745316859,0.470588235294,0.647058823529,0.75,0.583333333333,0.8,0.593220338983
Yoshi,0.666666666667,0.396825396825,0.459259259259,0.418282548476,0.52,0.468671679198,0.344827586207,0.4875,0.307692307692,0.470588235294,0.678571428571,0.261904761905,0.490566037736,0.48275862069,0.575757575758,0.585714285714,0.478581979321,0.485549132948,0.467889908257,0.442028985507,0.56856187291,0.25,0.423076923077,0.6875,0.375,0.684210526316,0.6
